ordinal,category_el
1,Ρύζι
2,Ψωμί για τοστ
3,Ψωμί φρατζόλα
4,Φρυγανιές
5,Μακαρόνια τύπου σπαγγέτι
6,Αλεύρι για όλες τις χρήσεις
7,Όσπρια (φακές)
8,Όσπρια (φασόλια)
9,Όσπρια (ρεβύθια)
10,Πάριζα
11,Γαλοπούλα (αλλαντικά)
12,Κατεψυγμένα ψάρια
13,Φρέσκα ψάρια
14,Νωπό χοιρινό
15,Νωπό κοτόπουλο και μέρη κοτόπουλου
16,Νωπό μοσχάρι
17,"Νωπό κρέας από αρνί, κατσίκι ή πρόβατο"
18,Φρέσκα φρούτα και Λαχανικά
19,Έτοιμα τυποποιημένα γεύματα και γεύματα που διατίθενται από Σούπερ Μαρκετς
20,Γάλα φρέσκο πλήρες
21,Γάλα φρέσκο με χαμηλά λιπαρά
22,Γάλα υψηλής παστερίωσης (μακράς διάρκειας) πλήρες
23,Γάλα υψηλής παστερίωσης (μακράς διάρκειας) με χαμηλά λιπαρά
24,Γάλα εβαπορέ
25,Γιαούρτι από γάλα αγελάδος χωρίς γεύσεις
26,Γιαούρτι από γάλα αγελάδος χωρίς γεύσεις με χαμηλά λιπαρά
27,Τυρί φέτα
28,Λευκό τυρί
29,Τυρί γκούντα
30,Τυρί με χαμηλά λιπαρά
31,Χυμός τομάτας διατηρημένος
32,Αυγά
33,Μαργαρίνες
34,Βούτυρο αγελάδος
35,Ελαιόλαδο
36,Ηλιέλαιο
37,Κατεψυγμένα λαχανικά
38,Λευκή ζάχαρη
39,Γλυκαντικές ουσίες κατάλληλες για διαβητικούς (π.χ. στέβια)
40,Δημητριακά Πρωινού
41,Κρέμα βρεφικής ηλικίας
42,Γάλα βρεφικής ηλικίας
43,Κάθε τύπου καφές
44,Σοκολάτες και σοκολατοειδή
45,Μπισκότα
46,Χυμός πορτοκάλι
47,Απορρυπαντικά πλυντηρίου ρούχων (υγρά και σε σκόνη – όχι ταμπλέτες)
48,Απορρυπαντικά για σφουγγάρισμα και καθαρισμού επιφανειών – χλωρίνες
49,Απορρυπαντικά πιάτων για πλύσιμο στο χέρι
50,Χαρτί κουζίνας
51,Χαρτί υγείας
52,Οδοντόκρεμες
53,Σερβιέτες και ταμπόν
54,Ξυριστικές μηχανές και ανταλλακτικά ξυριστικών μηχανών
55,Σαμπουάν
56,Όλα τα Σαπούνια (στερεή και σε υγρή μορφή)
57,Αφρόλουτρα
58,Πάνες ακράτειας
59,Πάνες για μωρά
60,Μωρομάντηλα
61,Σαμπουάν για μωρά
62,Τροφές για σκύλους
63,Τροφές για γάτες
