entity,region
AU_ABN,Australia
AU_ACN,Australia
AU_MEDICARE,Australia
AU_TFN,Australia
CA_POSTAL_CODE,Canada
CA_SIN,Canada
FI_PERSONAL_IDENTITY_CODE,Finland
DE_HANDELSREGISTER,Germany
DE_HEALTH_INSURANCE,Germany
DE_ID_CARD,Germany
DE_KFZ,Germany
DE_PASSPORT,Germany
DE_PLZ,Germany
DE_SOCIAL_SECURITY,Germany
DE_TAX_ID,Germany
DE_TAX_NUMBER,Germany
CREDIT_CARD,Global
CRYPTO,Global
DATE_TIME,Global
EMAIL_ADDRESS,Global
IBAN_CODE,Global
IP_ADDRESS,Global
LOCATION,Global
MAC_ADDRESS,Global
MEDICAL_LICENSE,Global
NRP,Global
PERSON,Global
PHONE_NUMBER,Global
URL,Global
UUID,Global
IN_AADHAAR,India
IN_GSTIN,India
IN_PAN,India
IN_PASSPORT,India
IN_VEHICLE_REGISTRATION,India
IN_VOTER,India
IT_DRIVER_LICENSE,Italy
IT_FISCAL_CODE,Italy
IT_IDENTITY_CARD,Italy
IT_PASSPORT,Italy
IT_VAT_CODE,Italy
KR_BRN,Korea
KR_DRIVER_LICENSE,Korea
KR_FRN,Korea
KR_PASSPORT,Korea
KR_RRN,Korea
MEDICAL_BIOLOGICAL_ATTRIBUTE,Medical / Clinical
MEDICAL_BIOLOGICAL_STRUCTURE,Medical / Clinical
MEDICAL_CLINICAL_EVENT,Medical / Clinical
MEDICAL_DISEASE_DISORDER,Medical / Clinical
MEDICAL_FAMILY_HISTORY,Medical / Clinical
MEDICAL_HISTORY,Medical / Clinical
MEDICAL_MEDICATION,Medical / Clinical
MEDICAL_THERAPEUTIC_PROCEDURE,Medical / Clinical
NG_NIN,Nigeria
NG_VEHICLE_REGISTRATION,Nigeria
PH_PASSPORT,Philippines
PH_TIN,Philippines
PH_UMID,Philippines
PL_PESEL,Poland
SG_NRIC_FIN,Singapore
SG_UEN,Singapore
ZA_COMPANY_REGISTRATION,South Africa
ZA_DRIVER_LICENSE,South Africa
ZA_ID_NUMBER,South Africa
ZA_INCOME_TAX_NUMBER,South Africa
ZA_LICENSE_PLATE,South Africa
ZA_MOBILE_NUMBER,South Africa
ZA_PASSPORT,South Africa
ZA_TELEPHONE_NUMBER,South Africa
ZA_TRAFFIC_REGISTER_NUMBER,South Africa
ZA_VAT_NUMBER,South Africa
ES_NIE,Spain
ES_NIF,Spain
ES_PASSPORT,Spain
SE_ORGANISATIONSNUMMER,Sweden
SE_PERSONNUMMER,Sweden
TH_TNIN,Thai
TR_LICENSE_PLATE,Turkey
TR_NATIONAL_ID,Turkey
UK_DRIVING_LICENCE,UK
UK_NHS,UK
UK_NINO,UK
UK_PASSPORT,UK
UK_POSTCODE,UK
UK_VEHICLE_REGISTRATION,UK
US_BANK_NUMBER,USA
US_CLAIM_NUMBER,USA
US_DRIVER_LICENSE,USA
US_HEALTH_INSURANCE_MEMBER_ID,USA
US_ITIN,USA
US_MBI,USA
US_NPI,USA
US_PASSPORT,USA
US_PRESCRIPTION_NUMBER,USA
US_PRIOR_AUTHORIZATION_NUMBER,USA
US_PROVIDER_TAX_ID,USA
US_REFERRAL_NUMBER,USA
US_SSN,USA
