property,describes_a_person,names_a_person
accountablePerson,false,true
acquiredFrom,false,true
actor,false,true
actors,false,true
additionalName,true,false
address,true,false
affiliation,true,false
agent,false,true
agentInteractionStatistic,true,false
alumni,false,true
alumniOf,true,false
artist,false,true
athlete,false,true
attendee,false,true
attendees,false,true
author,false,true
award,true,false
awards,true,false
awayTeam,false,true
bccRecipient,false,true
birthDate,true,false
birthPlace,true,false
bookingAgent,false,true
borrower,false,true
brand,true,false
broker,false,true
buyer,false,true
byArtist,false,true
callSign,true,false
candidate,false,true
ccRecipient,false,true
character,false,true
children,true,true
claimInterpreter,false,true
coach,false,true
colleague,true,true
colleagues,true,true
colorist,false,true
competitor,false,true
composer,false,true
contactPoint,true,false
contactPoints,true,false
contributor,false,true
copyrightHolder,false,true
creator,false,true
creditedTo,false,true
customer,false,true
deathDate,true,false
deathPlace,true,false
director,false,true
directors,false,true
duns,true,false
editor,false,true
email,true,false
employee,false,true
employees,false,true
endorsee,false,true
endorsers,false,true
familyName,true,false
faxNumber,true,false
followee,false,true
follows,true,true
founder,false,true
founders,false,true
fundedItem,false,true
funder,true,true
funding,true,false
gender,true,false
givenName,true,false
globalLocationNumber,true,false
grantee,false,true
hasCertification,true,false
hasCredential,true,false
hasOccupation,true,false
hasOfferCatalog,true,false
hasPOS,true,false
height,true,false
hiringOrganization,false,true
homeLocation,true,false
homeTeam,false,true
honorificPrefix,true,false
honorificSuffix,true,false
illustrator,false,true
inker,false,true
instructor,false,true
interactionStatistic,true,false
isicV4,true,false
jobTitle,true,false
knows,true,true
knowsAbout,true,false
knowsLanguage,true,false
landlord,false,true
legalRepresentative,false,true
legislationCountersignedBy,false,true
legislationPassedBy,false,true
legislationResponsible,false,true
lender,false,true
letterer,false,true
lifeEvent,true,false
loser,false,true
lyricist,false,true
maintainer,false,true
makesOffer,true,false
member,false,true
memberOf,true,false
members,false,true
merchant,false,true
musicBy,false,true
musicGroupMember,false,true
naics,true,false
nationality,true,false
netWorth,true,false
offeredBy,false,true
opponent,false,true
organizer,false,true
owner,false,true
owns,true,false
parent,true,true
parents,true,true
participant,false,true
penciler,false,true
performer,false,true
performerIn,true,false
performers,false,true
producer,false,true
pronouns,true,false
provider,false,true
publishedBy,false,true
publisher,false,true
publishingPrinciples,true,false
readBy,false,true
recipient,false,true
referee,false,true
relatedTo,true,true
reviewedBy,false,true
sdPublisher,false,true
seeks,true,false
seller,false,true
sender,false,true
sibling,true,true
siblings,true,true
skills,true,false
spokenByCharacter,false,true
sponsor,true,true
spouse,true,true
taxID,true,false
telephone,true,false
toRecipient,false,true
translator,false,true
underName,false,true
vatID,true,false
vendor,false,true
weight,true,false
winner,false,true
workLocation,true,false
worksFor,true,false
